uid,left_uid,right_uid,interval_frames,alpha_uid,beta_time,endpoint_fraction,endpoint_rotation_deg,endpoint_rotation_deg_per_second,gyro_endpoint_disagreement_deg,gyro_curvature_deg,original_translation_error_m,final_endpoint_linear_translation_error_m,causal_accel_shape_norm_m,causal_accel_plus_025_translation_error_m,causal_accel_plus_050_translation_error_m,causal_accel_plus_100_translation_error_m,causal_accel_minus_100_translation_error_m,original_rotation_error_deg,final_endpoint_slerp_rotation_error_deg,final_endpoint_imu_right_rotation_error_deg,final_endpoint_imu_left_rotation_error_deg,final_endpoint_imu_shape_right_rotation_error_deg,final_endpoint_imu_shape_left_rotation_error_deg,imu_right_improvement_deg,imu_left_improvement_deg,imu_shape_right_improvement_deg,imu_shape_left_improvement_deg
564,553,568,15,0.7333333333333333,0.7335923439400202,0.2666666666666667,10.599467098145363,21.09477560341175,0.047001652560541285,0.8755798192047934,0.07352617111711976,0.003836135395547895,0.0011457400991986633,0.07327205541516682,0.07301817897229046,0.07251115391374163,0.07454497754467064,0.5751528485844197,0.884443978013123,0.006886279324619607,0.005301285382431878,0.005929693327513327,0.006332507224891508,0.8775576986885034,0.8791426926306911,0.8785142846856097,0.8781114707882315
566,553,568,15,0.8666666666666667,0.8670234547263662,0.1333333333333333,10.599467098145363,21.09477560341175,0.047001652560541285,0.43062628950088344,0.07190193801063442,0.003908903223681519,0.0002885756206448423,0.07193928323674409,0.07197668139775502,0.07205163619465675,0.07175308810651093,0.8872914970518923,0.4270126631012446,0.017795837996563094,0.017457289506078635,0.017580535245520293,0.017652581158844292,0.4092168251046815,0.409555373595166,0.4094321278557243,0.4093600819424003
567,553,568,15,0.9333333333333333,0.933737823883859,0.06666666666666665,10.599467098145363,21.09477560341175,0.047001652560541285,0.21743714851538584,0.07247094389121106,0.0027262250693082654,0.0002987693609834509,0.07253918356795544,0.07260743594714915,0.07274397866986128,0.07219811292898877,1.044961513969778,0.2330320122888258,0.0,0.0,0.0,0.0,0.2330320122888258,0.2330320122888258,0.2330320122888258,0.2330320122888258
569,568,581,13,0.07692307692307693,0.07692867066913323,0.07692307692307693,11.001538641512255,25.420582658710995,0.12218672649620194,0.1086787649881228,0.07266543420709941,0.000941828601540961,8.22409049752578e-05,0.07264864679358919,0.07263186132007658,0.07259829619842766,0.07273260323425013,1.365536661280437,0.10651638349343379,0.0,0.0,0.0,0.0,0.10651638349343379,0.10651638349343379,0.10651638349343379,0.10651638349343379
571,568,581,13,0.23076923076923078,0.23078491020893405,0.23076923076923078,11.001538641512255,25.420582658710995,0.12218672649620194,0.29142657007371625,0.07175837450561254,0.002912076779627645,0.00028905534067853554,0.07182965484182381,0.0719009371415078,0.07204350760798196,0.0714732729129853,1.5498461236062737,0.2880281409022944,0.0,0.0,0.0,0.0,0.2880281409022944,0.2880281409022944,0.2880281409022944,0.2880281409022944
572,568,581,13,0.3076923076923077,0.30771247907960164,0.3076923076923077,11.001538641512255,25.420582658710995,0.12218672649620194,0.3710599129233631,0.06948848625538522,0.005629319063169844,0.001081289331121327,0.06974601816452822,0.0700036465184189,0.07051918833193835,0.06845934482866106,1.6607234670781827,0.3684366664151542,0.0,0.0,0.0,0.0,0.3684366664151542,0.3684366664151542,0.3684366664151542,0.3684366664151542
573,568,581,13,0.38461538461538464,0.3846367425548723,0.38461538461538464,11.001538641512255,25.420582658710995,0.12218672649620194,0.487664156507457,0.06915730177160105,0.006299468341498951,0.002001137363395115,0.06960903635279023,0.07006143064799096,0.07096814789700909,0.06735722576100639,1.7788418054280601,0.48787681754121,0.05032321194562658,0.04910606613734588,0.04981018274529049,0.04972764060419273,0.43755360559558343,0.4387707514038641,0.4380666347959195,0.43814917693701727
574,568,581,13,0.46153846153846156,0.46156265872784147,0.46153846153846156,11.001538641512255,25.420582658710995,0.12218672649620194,0.5714971805390852,0.06872276229447255,0.006935645800244086,0.0023948087410333744,0.06925862313812232,0.06979550550864719,0.07087224192507026,0.06659002670889784,1.9602103496372354,0.6619064411827457,0.10325568821003028,0.10338519975380665,0.10326390639118779,0.10337679449404702,0.5586507529727154,0.558521241428939,0.5586425347915579,0.5585296466886986
576,568,581,13,0.6153846153846154,0.6154073293837531,0.3846153846153846,11.001538641512255,25.420582658710995,0.12218672649620194,0.6563321979713688,0.07045385981319832,0.005104800848860812,0.002242332810452931,0.0709854247690125,0.07151743286605439,0.07258273949872503,0.06833223810824209,1.9863372052207209,0.7011697344764005,0.04263956067526474,0.042509657190182924,0.0424942552413256,0.042568381612056526,0.6585301738011358,0.6586600772862176,0.658675479235075,0.658601352864344
577,568,581,13,0.6923076923076923,0.6923271856651613,0.3076923076923077,11.001538641512255,25.420582658710995,0.12218672649620194,0.6264366471461582,0.07030685482152356,0.005114245387860733,0.0016646033292004102,0.07070358218244606,0.07110053160838882,0.0718950819404079,0.06872224291347587,1.9300211296174012,0.6449647206715277,0.023897538878380274,0.024389329439470985,0.024048779380737826,0.02409807939245125,0.6210671817931473,0.6205753912320566,0.6209159412907899,0.6208666412790764
578,568,581,13,0.7692307692307693,0.769248143745035,0.23076923076923073,11.001538641512255,25.420582658710995,0.12218672649620194,0.5227405797076367,0.07075512334475507,0.00407977516507556,0.001074130578496242,0.07101074169158365,0.07126645502063776,0.07177816256449797,0.06973362066411605,1.8295000889069124,0.5299250650875704,0.0,0.008524431652613271,0.0036865971755656907,0.005775667847593579,0.5299250650875704,0.5214006334349571,0.5262384679120047,0.5241493972399769
579,568,581,13,0.8461538461538461,0.8461657964295118,0.15384615384615385,11.001538641512255,25.420582658710995,0.12218672649620194,0.39323100961830065,0.06938669878063695,0.004839267694748211,0.0006146987946146822,0.06953221274463965,0.06967776174995022,0.06996896400972952,0.06880499778338102,1.7010984441364083,0.3996613230920047,0.0248875870682188,0.026000308261076122,0.025360265268111384,0.02544467082920025,0.3747737360237859,0.37366101483092856,0.37430105782389334,0.37421665226280443
582,581,606,25,0.04,0.04000046985561108,0.04,9.808277604944792,11.786184179827025,0.10886386349992373,0.3066948366626123,0.07745040278044166,0.0016429111115571291,0.0007228735689444318,0.07761015854337205,0.07777000607995732,0.07808997421947896,0.07681230891269808,1.7074216034038852,0.3334846598604126,0.03595616678220103,0.03546721456063704,0.03572078366741731,0.035707198458596816,0.29752849307821155,0.29801744529977553,0.29776387619299527,0.29777746140181577
583,581,606,25,0.08,0.07999979372192684,0.08,9.808277604944792,11.786184179827025,0.10886386349992373,0.5998688694572393,0.07598398887118506,0.005322662624569874,0.0013071857922234492,0.07627376538196451,0.07656384001698507,0.07714487020446871,0.07482793328750438,2.0025221618863114,0.6358501275533585,0.03448387135587932,0.03403661056255482,0.03424557250584143,0.034231866713987126,0.6013662561974792,0.6018135169908037,0.601604555047517,0.6016182608393713
584,581,606,25,0.12,0.11999940408556643,0.12,9.808277604944792,11.786184179827025,0.10886386349992373,0.8675709345588072,0.07814164049812239,0.004075310360254194,0.0016289717759640841,0.07850888657250943,0.07887652537734785,0.07961295940983755,0.07667669627453269,2.2455171060918664,0.8850149227789336,0.0,0.0,0.0,0.0,0.8850149227789336,0.8850149227789336,0.8850149227789336,0.8850149227789336
586,581,606,25,0.2,0.19999575983960735,0.2,9.808277604944792,11.786184179827025,0.10886386349992373,1.4104606218678266,0.08035856714101702,0.004146438912018867,0.0017899316624217108,0.08074454301928646,0.08113115076066024,0.08190622602842058,0.07882116767980694,2.75071883231153,1.4164204375723015,0.027545666413052637,0.029464522971879077,0.02821847876911934,0.02865714757598254,1.3888747711592488,1.3869559146004224,1.3882019588031822,1.387763289996319
587,581,606,25,0.24,0.23999250523000865,0.24,9.808277604944792,11.786184179827025,0.10886386349992373,1.6967939540609625,0.08103697947732258,0.006357239834552453,0.00211084554424917,0.08150185189412658,0.08196748526184176,0.08290098354029518,0.07918536702883346,3.050027101072261,1.7205445717121735,0.03196709771315294,0.0327596726956731,0.032188336917062466,0.03244641673839601,1.6885774739990205,1.6877848990165003,1.688356234795111,1.6880981549737775
588,581,606,25,0.28,0.2799898236150576,0.28,9.808277604944792,11.786184179827025,0.10886386349992373,1.9756403285964887,0.0809331524253333,0.005771571125331756,0.002652157578245608,0.08152705337378413,0.08212201254596056,0.0833150148388962,0.07856861017632084,3.3254099397791452,1.9883271680757346,0.014580100151338317,0.011346558369249532,0.0135791058027985,0.012378995640032368,1.9737470679243962,1.976980609706485,1.974748062272936,1.9759481724357022
589,581,606,25,0.32,0.3199854230161636,0.32,9.808277604944792,11.786184179827025,0.10886386349992373,2.2357856030149685,0.07912717285801481,0.005421476524165066,0.003172541297802303,0.07982882031223232,0.0805321659193951,0.08194377657869431,0.07633849936695024,3.5897670223066354,2.2429647441906417,0.0,0.0,0.0,0.0,2.2429647441906417,2.2429647441906417,2.2429647441906417,2.2429647441906417
591,581,606,25,0.4,0.39997604882372795,0.4,9.808277604944792,11.786184179827025,0.10886386349992373,2.5064417580019605,0.07993292074947901,0.005992566500349625,0.0033388758425668083,0.0806430581041137,0.08135556116646811,0.08278741988868484,0.07711733223500232,3.818369298372955,2.4662302281828885,0.03854678248766278,0.04110452919165136,0.039006905942627845,0.040677642098867525,2.4276834456952257,2.4251256989912373,2.427223322240261,2.425552586084021
592,581,606,25,0.44,0.43997107523018625,0.44,9.808277604944792,11.786184179827025,0.10886386349992373,2.538290291250949,0.08067005928255724,0.006426917965011882,0.0030364335184737586,0.08128776431697053,0.08190784627687048,0.08315492807426177,0.07822413133612399,3.8248701703806756,2.4734278050501115,0.07247175370375555,0.07400560827804531,0.0726735523387051,0.07380647138795178,2.400956051346356,2.399422196772066,2.4007542527114065,2.39962133366216
593,581,606,25,0.48,0.47996409615537783,0.48,9.808277604944792,11.786184179827025,0.10886386349992373,2.5161492441948883,0.0823475864701544,0.0060451552632374995,0.0026414457896295975,0.08287538562149191,0.08340507323205723,0.08446997160032597,0.08025601762159858,3.784937882893558,2.431939397020505,0.0921341567916417,0.09303964442050205,0.09223003263810003,0.09294142141226072,2.3398052402288636,2.3388997526000033,2.339709364382405,2.3389979756082444
594,581,606,25,0.52,0.5199579765725408,0.48,9.808277604944792,11.786184179827025,0.10886386349992373,2.423109738431134,0.07977718587233802,0.006687291249164636,0.0022483531702891814,0.08022525041862213,0.08067474270333302,0.08157791601148892,0.07799969599042227,3.689783779301776,2.3296022182416913,0.09565815038783781,0.09614060414740506,0.09577490797113374,0.09604272645902466,2.2339440678538534,2.2334616140942862,2.2338273102705575,2.2335594917826667
596,581,606,25,0.6,0.5999431589309524,0.4,9.808277604944792,11.786184179827025,0.10886386349992373,2.0986920049079374,0.07962877765692832,0.006907949166571575,0.0013693534251655937,0.0798932193735469,0.080158250752516,0.08069005924320173,0.07857702628127175,3.347352430898874,1.9765371076676608,0.12438751635578997,0.12503265201331482,0.12452354910764504,0.12490518068134068,1.8521495913118708,1.851504455654346,1.8520135585600157,1.8516319269863202
597,581,606,25,0.64,0.639934460872201,0.36,9.808277604944792,11.786184179827025,0.10886386349992373,1.8387281513674654,0.0800762083600757,0.006735451454870956,0.000831093408713403,0.08020311139716114,0.08033035136096653,0.08058583568067913,0.07957199765499864,3.089322115828624,1.7099938798857521,0.131963845952726,0.13248836373342152,0.13213819844152205,0.13233518886222545,1.5780300339330262,1.5775055161523306,1.5778556814442302,1.5776586910235266
598,581,606,25,0.68,0.6799446716368223,0.31999999999999995,9.808277604944792,11.786184179827025,0.10886386349992373,1.5363609858881975,0.07911232962485341,0.0068262826686747834,0.0006286939905591275,0.07908546217861578,0.07905889807198047,0.07900668109791084,0.0792228265811279,2.773784612165103,1.3894412501076476,0.14801499821444572,0.14881055720462225,0.14822046714203563,0.1486159773192939,1.241426251893202,1.2406306929030253,1.2412207829656121,1.2408252727883538
599,581,606,25,0.72,0.7199528769201767,0.28,9.808277604944792,11.786184179827025,0.10886386349992373,1.1548078711669418,0.07865622130353443,0.006714914508859671,0.0010984665924529476,0.0784846912114624,0.07831374839690346,0.0779736400370265,0.07934813807889166,2.3912536582541923,1.0042078047327339,0.15297040355408603,0.15373469060253872,0.1531941725756531,0.1535210210838595,0.8512374011786479,0.8504731141301951,0.8510136321570807,0.8506867836488743
601,581,606,25,0.8,0.7999690009895618,0.19999999999999996,9.808277604944792,11.786184179827025,0.10886386349992373,0.4784035731626794,0.07969985874334433,0.005571981331891416,0.0020735714990760645,0.07929081058366706,0.07888304801835513,0.07807146018234894,0.08134851854789701,1.7982037782828189,0.3936326041334768,0.09326336140538248,0.09397227115209807,0.09354297003269578,0.09371307592829659,0.3003692427280943,0.29966033298137873,0.300089634100781,0.2999195282051802
602,581,606,25,0.84,0.8399769197755924,0.16000000000000003,9.808277604944792,11.786184179827025,0.10886386349992373,0.28474522420724147,0.08063421475281982,0.004951320530547814,0.0020149136145563105,0.08021726806652156,0.07980132259504072,0.07897249853885005,0.08231170880189105,1.6345628635890816,0.2442394614662936,0.095680060574545,0.09621231937196528,0.0958973199204237,0.09603107108444582,0.1485594008917486,0.14802714209432832,0.1483421415458699,0.1482083903818478
603,581,606,25,0.88,0.8799828330803562,0.12,9.808277604944792,11.786184179827025,0.10886386349992373,0.18439052690195615,0.08021274249663012,0.005240030681473948,0.0017348572374728162,0.07983892990047037,0.07946572602498526,0.078721179052035,0.08171391280306953,1.5301714340189227,0.1974221154257586,0.06751311172648518,0.06815827691085527,0.06777486486176522,0.06792546560663948,0.12990900369927344,0.12926383851490333,0.1296472505639934,0.12949664981911913
604,581,606,25,0.92,0.9199896058770916,0.07999999999999996,9.808277604944792,11.786184179827025,0.10886386349992373,0.10349441760450866,0.08064457053441343,0.002809525645519828,0.0012973139071971338,0.08034528010284765,0.08004618473638746,0.0794485880095465,0.08184364009131635,1.420873283537164,0.1281588833329959,0.04438125969949006,0.044664963240816556,0.044480571534433765,0.04458138102883322,0.08377762363350585,0.08349392009217935,0.08367831179856214,0.08357750230416269
607,606,620,14,0.07142857142857142,0.07143427203866826,0.07142857142857142,11.680696871815462,25.06417610074042,0.22505638448770102,0.37219152235994685,0.08839443950394997,0.0026336715374354076,0.00024144587957451515,0.08835822209619135,0.08832203108962346,0.0882497284099602,0.08853957249856549,1.117443135873894,0.36345233519891784,0.0,0.0,0.0,0.0,0.36345233519891784,0.36345233519891784,0.36345233519891784,0.36345233519891784
608,606,620,14,0.14285714285714285,0.14286905567055033,0.14285714285714285,11.680696871815462,25.06417610074042,0.22505638448770102,0.6430769376010717,0.08706844180254224,0.001325615813952872,0.00042709728830483116,0.08701453335401027,0.08696072258911676,0.08685339483616514,0.08728504880829203,0.8726323548751228,0.6330992979900478,0.0513174235597998,0.05313830703141887,0.052304501372266,0.052184350293668906,0.581781874430248,0.579960990958629,0.5807947966177818,0.580914947696379
609,606,620,14,0.21428571428571427,0.21430128133636334,0.21428571428571427,11.680696871815462,25.06417610074042,0.22505638448770102,0.892294855243943,0.08684496789335391,0.002507138585615859,0.00062879578676534,0.08677199602774562,0.08669924777008262,0.08655442433214748,0.08713908017421808,0.6870150724302294,0.8832699728068907,0.03552737896551911,0.03785428115527691,0.03683507004950204,0.03660551648313156,0.8477425938413716,0.8454156916516138,0.8464349027573886,0.8466644563237591
611,606,620,14,0.35714285714285715,0.35716470948156165,0.35714285714285715,11.680696871815462,25.06417610074042,0.22505638448770102,1.2224917559306319,0.08579798525357082,0.005074580015736107,0.0012634978978710368,0.08585232671753325,0.08590779525411804,0.08602210477978285,0.08559193239012555,0.6134204189116852,1.2063590360881862,0.024831204176457105,0.0273020436018679,0.026285927346110002,0.02602832558210832,1.181527831911729,1.1790569924863183,1.1800731087420762,1.1803307105060779
612,606,620,14,0.42857142857142855,0.4285954003677332,0.42857142857142855,11.680696871815462,25.06417610074042,0.22505638448770102,1.306125795672275,0.0849697957123265,0.005958821197276811,0.001695554586220396,0.0851729570278837,0.08537773947301663,0.08579212122524733,0.08417359510660792,0.7197367124657906,1.2969018019009297,0.058621320204026835,0.05831288533449613,0.05845025322563264,0.05858504803995472,1.2382804816969029,1.2385889165664337,1.2384515486752972,1.238316753860975
613,606,620,14,0.5,0.5000235332878357,0.5,11.680696871815462,25.06417610074042,0.22505638448770102,1.3485092395552458,0.08453009783262716,0.0063138902410173935,0.0020674365409020638,0.08486424373618041,0.08520021465328294,0.08587754573381114,0.08321220226400411,0.7800652756660728,1.3576262038614042,0.0,0.0,0.0,0.0,1.3576262038614042,1.3576262038614042,1.3576262038614042,1.3576262038614042
614,606,620,14,0.5714285714285714,0.5714526893943658,0.4285714285714286,11.680696871815462,25.06417610074042,0.22505638448770102,1.3564977964367246,0.08663772445121615,0.005677482991608743,0.002228144416940443,0.08705896734295705,0.08748172877808341,0.08833171998603226,0.08496838880174432,0.8396490895878842,1.3833462745559013,0.006916985660163367,0.0,0.0028942662166633404,0.002997900181434179,1.376429288895738,1.3833462745559013,1.380452008339238,1.3803483743744671
616,606,620,14,0.7142857142857143,0.7143053740820738,0.2857142857142857,11.680696871815462,25.06417610074042,0.22505638448770102,1.1670574440399906,0.08568197743253292,0.005204363573496141,0.0017984098372135664,0.08609213037270838,0.0865026754049643,0.08732491962009131,0.08404540131814425,0.7607835905064553,1.1603432855684443,0.05593732674724672,0.05826447681334031,0.05744749738897595,0.05663864424982308,1.1044059588211976,1.1020788087551041,1.1028957881794683,1.1037046413186213
617,606,620,14,0.7857142857142857,0.7857294142564658,0.2142857142857143,11.680696871815462,25.06417610074042,0.22505638448770102,0.9674576057492887,0.086615230178515,0.004006926396089837,0.0012104369329868638,0.08690815114238619,0.08720113827120997,0.08778730837368572,0.08544422157990061,0.7408439803144403,0.973487904414553,0.07284840259704274,0.07423447566211379,0.0738372051677477,0.07315295998698404,0.9006395018175103,0.8992534287524392,0.8996506992468053,0.900334944427569
618,606,620,14,0.8571428571428571,0.8571549892104992,0.1428571428571429,11.680696871815462,25.06417610074042,0.22505638448770102,0.6949147420616726,0.08766518353646191,0.002544204526774599,0.0006924882240152051,0.08783189537796478,0.08799863197449456,0.08833217887187952,0.08699858656662296,0.8698308643406095,0.6928471104720481,0.06165325822396159,0.06339949377524232,0.06280812658045039,0.06220472112784761,0.6311938522480864,0.6294476166968057,0.6300389838915976,0.6306423893442005
619,606,620,14,0.9285714285714286,0.9285769830120357,0.0714285714285714,11.680696871815462,25.06417610074042,0.22505638448770102,0.3664629860090842,0.08788646947615372,0.0017825841471561636,0.0002940184975835123,0.08794853965822359,0.08801062745433082,0.08813485573974453,0.08763836563659815,1.1356244379069669,0.3566508652238643,0.037340204025793744,0.037847142498809994,0.03770012714892818,0.037449817835591835,0.31931066119807056,0.3188037227250543,0.3189507380749361,0.3192010473882725
621,620,632,12,0.08333333333333333,0.08307467091952107,0.08333333333333333,13.781517480090072,34.398058777946076,0.0821814119758179,0.07256033397017753,0.08851799006500038,0.002730473323236801,0.0003556074177731594,0.08858428860149249,0.08865062670955555,0.08878342128553171,0.08825319341758665,1.575310433464654,0.10959523676956572,0.03828483118463543,0.03739373032488035,0.03787859761908717,0.037876938648696505,0.07131040558493029,0.07220150644468537,0.07171663915047854,0.07171829812086922
622,620,632,12,0.16666666666666666,0.1661517221680036,0.16666666666666666,13.781517480090072,34.398058777946076,0.0821814119758179,0.1867289177618752,0.08754730216203511,0.004993547838825504,0.0006655992974663627,0.08766008247865455,0.08777303334328522,0.08799944408872477,0.08709789961087658,1.643455538457738,0.22127066255337038,0.028893507290276683,0.027532724228356138,0.028297490298975905,0.028308940969214873,0.1923771552630937,0.19373793832501424,0.19297317225439448,0.1929617215841555
623,620,632,12,0.25,0.2492246078408036,0.25,13.781517480090072,34.398058777946076,0.0821814119758179,0.2494724158861829,0.08844066078184895,0.00561202805209561,0.0005797719371389037,0.0885187253393045,0.08859695823671244,0.08875392726981164,0.08813009488388925,1.6573441821402053,0.24576776072136514,0.0,0.0,0.0,0.0,0.24576776072136514,0.24576776072136514,0.24576776072136514,0.24576776072136514
624,620,632,12,0.3333333333333333,0.3322980885958439,0.3333333333333333,13.781517480090072,34.398058777946076,0.0821814119758179,0.1986428854477245,0.08728604339094567,0.006733738169058583,0.000289180218959871,0.0872422694034182,0.08719853337998884,0.08711117545410281,0.08746151784124656,1.5892657168459383,0.13127911521869237,0.07079234537781635,0.07374164004500283,0.07214503751193256,0.07217815023744349,0.06048676984087602,0.05753747517368954,0.05913407770675981,0.05910096498124888
626,620,632,12,0.5,0.4984408845302421,0.5,13.781517480090072,34.398058777946076,0.0821814119758179,0.08774227038843309,0.08973727995036423,0.005326810195105053,0.0009195428370644887,0.089615570652203,0.08949428634627232,0.08925299963520376,0.09022833257883467,1.5683181812977232,0.10945023376773658,0.0235205819423839,0.023052826850809865,0.023138520511333485,0.0231351743511423,0.08592965182535267,0.08639740691692671,0.08631171325640309,0.08631505941659427
627,620,632,12,0.5833333333333334,0.5815101997095998,0.41666666666666663,13.781517480090072,34.398058777946076,0.0821814119758179,0.1063077089512542,0.09015751911979895,0.004711751711016929,0.0006103535088069261,0.09014031698874883,0.09012336992286232,0.09009024156018272,0.09022887534549669,1.6193572767090716,0.1263013840933025,0.057937701419090354,0.05440702469962102,0.05629202750761087,0.05623135920254121,0.06836368267421214,0.07189435939368147,0.07000935658569163,0.07007002489076128
628,620,632,12,0.6666666666666666,0.664653305086763,0.33333333333333337,13.781517480090072,34.398058777946076,0.0821814119758179,0.1864905043973907,0.08903616437459451,0.0053771255652653675,0.0005951809298425953,0.0891224482946872,0.08920889694184667,0.08938228650460789,0.08869268556632116,1.6600761922153588,0.23200451917543638,0.06221325512098322,0.05987252595788165,0.06116422871138444,0.06105362932165122,0.16979126405445316,0.17213199321755474,0.17084029046405194,0.17095088985378515
629,620,632,12,0.75,0.74781902358906,0.25,13.781517480090072,34.398058777946076,0.0821814119758179,0.2615942150082156,0.09037388968014594,0.004091969655099756,0.000674905866191703,0.0904997620041679,0.09062577363500886,0.09087821249855574,0.08987180514912427,1.6671039552824114,0.2749332546574965,0.036888295806743056,0.03711570855590401,0.03710047784150609,0.03693900414092797,0.23804495885075347,0.2378175461015925,0.23783277681599044,0.23799425051656856
