dataset,scene,frame_index,uid,baseline_psnr,ours_psnr,delta_psnr,scene_delta_psnr
rpng,table_03,5665,1662918651321342945.png,19.935993194580078,23.012096405029297,3.0761032104492188,1.7509620873292064
aria,aria301_305,1380,1485350685775.jpg,20.926836013793945,24.002120971679688,3.075284957885742,3.185685308169788
rpng,table_06,2110,1662924077338115931.png,23.711345672607422,26.78471565246582,3.0733699798583984,1.7908915442389421
rpng,table_08,4620,1662925946378565311.png,23.18668556213379,26.258426666259766,3.0717411041259766,1.692766843330734
rpng,table_03,3410,1662918576114565611.png,20.7626895904541,23.832904815673828,3.0702152252197266,1.7509620873292064
rpng,table_08,7460,1662926041080134630.png,21.188209533691406,24.257217407226562,3.0690078735351562,1.692766843330734
rpng,table_03,1160,1662918501085945129.png,20.472829818725586,23.541460037231445,3.0686302185058594,1.7509620873292064
aria,aria1253,330,3831269945887.jpg,24.848297119140625,27.91639518737793,3.0680980682373047,1.7197942733764648
rpng,table_08,6980,1662926025086954832.png,22.990312576293945,26.057456970214844,3.0671443939208984,1.692766843330734
rpng,table_04,3505,1662919272617863178.png,21.770849227905273,24.837244033813477,3.066394805908203,1.1251944239738059
rpng,table_04,4095,1662919292295887947.png,22.5603084564209,25.62603759765625,3.0657291412353516,1.1251944239738059
rpng,table_04,4080,1662919291796289206.png,23.032207489013672,26.096923828125,3.064716339111328,1.1251944239738059
rpng,table_02,2430,1662917443873723745.png,21.10338592529297,24.167604446411133,3.064218521118164,2.1988808030951503
rpng,table_03,6290,1662918672156760216.png,19.148103713989258,22.21173858642578,3.0636348724365234,1.7509620873292064
rpng,table_04,3500,1662919272451658010.png,21.485164642333984,24.544391632080078,3.0592269897460938,1.1251944239738059
rpng,table_07,2885,1662924251815024853.png,25.308879852294922,28.3676700592041,3.0587902069091797,1.4890395942958747
rpng,table_04,3580,1662919275130147457.png,23.448410034179688,26.50406837463379,3.0556583404541016,1.1251944239738059
rpng,table_02,745,1662917387678828716.png,20.40717315673828,23.462553024291992,3.055379867553711,2.1988808030951503
rpng,table_06,855,1662924035511116505.png,23.37187957763672,26.423179626464844,3.051300048828125,1.7908915442389421
aria,aria301_305,620,1447350694900.jpg,18.297014236450195,21.347206115722656,3.050191879272461,3.185685308169788
rpng,table_08,4645,1662925947212216616.png,22.609975814819336,25.659954071044922,3.049978256225586,1.692766843330734
rpng,table_07,490,1662924171956754208.png,25.26496696472168,28.31482696533203,3.0498600006103516,1.4890395942958747
rpng,table_05,3445,1662923883387964249.png,23.98088264465332,27.028038024902344,3.0471553802490234,1.0883580475224477
aria,aria1253,865,3858019939887.jpg,22.723180770874023,25.770252227783203,3.0470714569091797,1.7197942733764648
rpng,table_08,3135,1662925896851850271.png,22.850051879882812,25.89710235595703,3.0470504760742188,1.692766843330734
rpng,table_03,1090,1662918498762405872.png,20.130615234375,23.175281524658203,3.044666290283203,1.7509620873292064
rpng,table_02,1955,1662917428033217430.png,21.15180206298828,24.195236206054688,3.0434341430664062,2.1988808030951503
rpng,table_08,5700,1662925982400414944.png,19.66374397277832,22.7066593170166,3.0429153442382812,1.692766843330734
rpng,table_02,950,1662917394513656855.png,19.27171516418457,22.313262939453125,3.0415477752685547,2.1988808030951503
rpng,table_08,1120,1662925829656311035.png,22.307838439941406,25.34846305847168,3.0406246185302734,1.692766843330734
rpng,table_05,2915,1662923865715782642.png,25.379127502441406,28.41951560974121,3.0403881072998047,1.0883580475224477
rpng,table_08,3785,1662925918532764912.png,22.764938354492188,25.805150985717773,3.040212631225586,1.692766843330734
rpng,table_07,2940,1662924253654750586.png,24.643741607666016,27.683757781982422,3.0400161743164062,1.4890395942958747
rpng,table_02,1895,1662917426032384872.png,21.001346588134766,24.040618896484375,3.0392723083496094,2.1988808030951503
aria,aria301_305,1780,1505350689900.jpg,22.994821548461914,26.03308868408203,3.038267135620117,3.185685308169788
rpng,table_05,2895,1662923865049930573.png,25.448514938354492,28.486032485961914,3.037517547607422,1.0883580475224477
utmm,square-1,140,1706737741488877058.png,16.143733978271484,19.180274963378906,3.036540985107422,1.0429959974171226
rpng,table_05,2910,1662923865549308300.png,25.48975372314453,28.526275634765625,3.0365219116210938,1.0883580475224477
rpng,table_08,6560,1662926011085094452.png,20.73412322998047,23.770523071289062,3.0363998413085938,1.692766843330734
rpng,table_02,2085,1662917432368423700.png,20.187883377075195,23.224260330200195,3.036376953125,2.1988808030951503
utmm,square-1,1270,1706737779194551945.png,17.456710815429688,20.49289894104004,3.0361881256103516,1.0429959974171226
rpng,table_07,2855,1662924250816153526.png,24.297019958496094,27.328792572021484,3.0317726135253906,1.4890395942958747
rpng,table_02,1965,1662917428366690159.png,20.919567108154297,23.951007843017578,3.0314407348632812,2.1988808030951503
rpng,table_01,765,1662915756876228333.png,23.696481704711914,26.72774887084961,3.0312671661376953,1.652589399026212
rpng,table_07,2960,1662924254321463346.png,25.3828125,28.412662506103516,3.0298500061035156,1.4890395942958747
rpng,table_07,1670,1662924211299051762.png,24.364055633544922,27.393047332763672,3.02899169921875,1.4890395942958747
rpng,table_02,2065,1662917431701459408.png,21.456912994384766,24.484176635742188,3.027263641357422,2.1988808030951503
rpng,table_06,1740,1662924065011158705.png,22.884653091430664,25.911663055419922,3.027009963989258,1.7908915442389421
rpng,table_06,2115,1662924077504630804.png,22.82294464111328,25.848648071289062,3.0257034301757812,1.7908915442389421
rpng,table_02,1755,1662917421363642693.png,20.563514709472656,23.5871524810791,3.0236377716064453,2.1988808030951503
rpng,table_06,880,1662924036349969149.png,24.211143493652344,27.23293113708496,3.021787643432617,1.7908915442389421
rpng,table_03,580,1662918481738886118.png,21.16999626159668,24.190967559814453,3.0209712982177734,1.7509620873292064
rpng,table_08,1980,1662925858341457129.png,22.539445877075195,25.55927085876465,3.019824981689453,1.692766843330734
rpng,table_08,6065,1662925994580689669.png,20.790922164916992,23.810089111328125,3.019166946411133,1.692766843330734
