kappa,beta,algorithm,scenarios,fairness_nrmse_worst_scenario,fairness_rmse_updates_worst_scenario,jain_min_scenario,jain_regret_worst_scenario,cohort_ratio_min_scenario,cohort_ratio_max_scenario,entropy_ratio_min_scenario,shuffle_kl_worst_scenario,gradient_ratio_mean_worst_scenario,gradient_ratio_field_worst_scenario,temporal_w1_ratio_worst_scenario,admission_tracking_nrmse_worst_scenario,admission_pool_rate_cv_worst_scenario,budget_violation_worst_scenario,constraint_violation_factor,meets_all_quality_constraints
832,0.0,ercb_beta_0,3,0.1658415368475932,56.32354081616373,0.8524123817195759,0.05780582904987874,0.9712672409945097,1.0347660543723687,1.0,0.0,1.081063044421234,1.130702862611829,1.0479731480593497,0.0,0.3404643426232305,0.0,5.780582904987874,False
832,0.0035,ercb_beta_0p0035,3,0.09082071309511085,30.84477048513198,0.8898892233711585,0.02032898739829614,0.9719001533437623,1.0232139425622282,0.9896980559319667,0.009527484347001729,1.5476032450502433,1.9478623650789235,1.3081145851236429,0.0,0.3404643426232305,0.0,2.032898739829614,False
832,0.004,ercb_beta_0p004,3,0.08212639914049816,27.89198461375409,0.8940524266122158,0.016165784157238756,0.9654861808577913,1.0296574257425741,0.9872136382432178,0.012371396687758291,1.6758394234958713,2.1289165134232277,1.3597712629393128,0.0,0.3404643426232305,0.0,1.6165784157238756,False
832,0.0045,ercb_beta_0p0045,3,0.07647527175263089,25.972733802780297,0.896738217361362,0.013479993408092705,0.9750269905533063,1.0318977334310944,0.984246964434757,0.015079546035405409,1.759477101321716,2.2259917930242636,1.396043218734388,0.0,0.3404643426232305,0.0,1.3479993408092705,False
832,0.005,ercb_beta_0p005,3,0.07074302300212988,24.025932340345996,0.8988152533900907,0.01140295737936392,0.9807604844838888,1.0335029349594134,0.9812171600088212,0.017935555975882332,1.87284572842936,2.4515860746177305,1.463129488283601,0.0,0.3404643426232305,0.0,1.140295737936392,False
832,0.0055,ercb_beta_0p0055,3,0.0647224100430859,21.98119586368955,0.9005192652279039,0.009698945541550735,0.975967956530003,1.0195936697374695,0.9783007340595974,0.02091442776124662,1.904627363186989,2.5267060775842545,1.4832839954452066,0.0,0.3404643426232305,0.0,0.9710715395846025,True
832,0.006,ercb_beta_0p006,3,0.059870559536888676,20.333397578565965,0.9016370856946541,0.008581125074800595,0.9749561764153762,1.0323012585315816,0.975062581013148,0.02381868009383869,1.9462633193350167,2.588879942509446,1.5161776656435533,0.0,0.3404643426232305,0.0,0.9742964385043814,True
832,0.0065,ercb_beta_0p0065,3,0.05855054991420194,19.885092423691223,0.9031220208876753,0.007096189881779252,0.9647900763358779,1.0329716193656093,0.972269944648845,0.027051394053967115,2.0347401122564537,2.7094392146557382,1.5428029149055227,0.0,0.3404643426232305,0.0,1.0173700561282268,False
832,0.007,ercb_beta_0p007,3,0.05334166127268909,18.116035903932143,0.9040188802713648,0.006199330498089806,0.9725351485203652,1.020602362388171,0.968833373749165,0.030312284580426962,2.0710831384828507,2.813061854763964,1.565075844748027,0.0,0.3404643426232305,0.0,1.0355415692414254,False
848,0.0,ercb_beta_0,3,0.16626216696206284,56.46639632673831,0.8464558501447298,0.05687487074128906,0.9630227021040975,1.0321850393700787,1.0,0.0,1.2109586669352312,1.387140028361929,1.068890384577057,0.0,0.327735768799997,0.0,5.687487074128906,False
