scenario,algorithm,sampler,admission,beta,kappa,seed,steps,batch_size,initial_views,final_views,target_final_views,mean_count,count_std,count_min,count_max,jain_index,oracle_jain_index,jain_regret,fairness_rmse_updates,fairness_nrmse,cohort_mid_first_ratio,admission_tracking_rmse,admission_tracking_nrmse,admission_max_lag,admission_max_overshoot,admission_rate_ratio,admission_pool_rate_cv,budget_violation,entropy_ratio,shuffle_kl_norm,duplicate_rate,temporal_w1,cohort_entropy,gradient_ratio_iid,gradient_ratio_smooth_order,gradient_ratio_abrupt_regime,gradient_ratio_mean,gradient_ratio_worst
base_stream,gate_r2_uniform,softmax,gate_r2,0.0,816,9880682,12000,32,32,46,46,260.8695652173913,91.37062811658711,14,324,0.8907274162558496,0.922030276861873,0.031302860606023386,26.492000433272715,0.1015526683275454,1.0096930533117932,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,1.0,0.0,0.0,0.021114347412890047,0.9892414487855602,0.9802033238475042,0.9789131705363271,0.9725292657699681,0.9772152533845998,0.9802033238475042
base_stream,gate_r2_uniform,softmax,gate_r2,0.0,816,9880683,12000,32,32,46,46,260.8695652173913,91.78628501689275,13,326,0.8898407328451436,0.922030276861873,0.032189544016729355,27.271581003579215,0.10454106051372032,1.0155355682747342,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,1.0,0.0,0.0,0.020878750797546242,0.988721895180228,0.9783493070642515,0.989799863094566,0.843147699208573,0.9370989564557969,0.989799863094566
base_stream,gate_r2_uniform,softmax,gate_r2,0.0,816,9880684,12000,32,32,46,46,260.8695652173913,91.05053749468937,13,327,0.8914086921657755,0.922030276861873,0.030621584696097548,25.63964321802911,0.09828529900244493,0.9698412698412698,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,1.0,0.0,0.0,0.020493479723453258,0.9889926683978364,1.0340390043460252,0.8409269356053009,0.821174411892079,0.8987134506144683,1.0340390043460252
base_stream,gate_r2_uniform,softmax,gate_r2,0.0,816,9880685,12000,32,32,46,46,260.8695652173913,90.1970327998539,15,323,0.8932186394285266,0.922030276861873,0.02881163743334636,24.625013793860628,0.09439588620979907,0.9723101265822784,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,1.0,0.0,0.0,0.021451336081165014,0.9890586435602566,1.0287527520990378,1.0732706218158856,1.0035971375994022,1.0352068371714418,1.0732706218158856
base_stream,gate_r2_uniform,softmax,gate_r2,0.0,816,9880686,12000,32,32,46,46,260.8695652173913,91.92307953928044,13,329,0.8895484286472943,0.922030276861873,0.03248184821457867,26.13343685279704,0.10017817460238865,0.9864217252396166,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,1.0,0.0,0.0,0.020062436125140568,0.9887015830453216,0.9839177069367366,0.9179300137687462,0.9708108677367981,0.9575528628140937,0.9839177069367366
base_stream,gate_r2_active_bonus3,active_bonus,gate_r2,,816,9881664,12000,32,32,46,46,260.8695652173913,82.37866141381944,18,365,0.9093223040620716,0.922030276861873,0.012707972799801404,24.78077796441708,0.09499298219693214,1.0794066317626527,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,0.959552441085104,0.04044755891489603,0.0,0.036033425000313986,0.9850627830329844,0.9860193557955781,2.8860361415965525,3.6537323079063984,2.50859593509951,3.6537323079063984
base_stream,gate_r2_active_bonus3,active_bonus,gate_r2,,816,9881665,12000,32,32,46,46,260.8695652173913,83.0886401212721,16,366,0.9078971389866188,0.922030276861873,0.014133137875254165,25.947270946386972,0.09946453862781672,1.0822898032200359,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,0.9577537631715644,0.042246236828435674,0.0,0.03691933196437709,0.9853931090763942,1.0003191319007365,3.029547923849493,3.9601306939822165,2.6633325832441486,3.9601306939822165
base_stream,gate_r2_active_bonus3,active_bonus,gate_r2,,816,9881666,12000,32,32,46,46,260.8695652173913,83.1997618871102,15,370,0.9076733799870728,0.922030276861873,0.01435689687480024,25.72851573136566,0.09862597697023504,1.0868794326241136,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,0.9596246298416721,0.040375370158327935,0.0,0.036692608274449756,0.9852011288660769,0.9898816006150033,3.0108860480041892,3.7430622740035275,2.5812766408742402,3.7430622740035275
base_stream,gate_r2_active_bonus3,active_bonus,gate_r2,,816,9881667,12000,32,32,46,46,260.8695652173913,82.18129711475196,18,364,0.9097170976931546,0.922030276861873,0.012313179168718436,24.422904431487368,0.0936211336540349,1.1129032258064515,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,0.9581928121678472,0.041807187832152794,0.0,0.03642964138248634,0.9851650859293098,0.9865996395144607,2.8342765914533965,3.6085956679911138,2.4764906329863234,3.6085956679911138
base_stream,gate_r2_active_bonus3,active_bonus,gate_r2,,816,9881668,12000,32,32,46,46,260.8695652173913,82.7990255917387,15,365,0.9084794290226977,0.922030276861873,0.013550847839175262,24.616184142533758,0.09436203921304608,1.1078610603290677,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,0.9610837662419623,0.038916233758037606,0.0,0.035613711352790386,0.9861612667634269,0.9887566269563975,2.7514336475655337,3.4058204905883147,2.382003588370082,3.4058204905883147
