kappa,beta,algorithm,scenarios,fairness_nrmse_worst_scenario,fairness_rmse_updates_worst_scenario,jain_min_scenario,jain_regret_worst_scenario,cohort_ratio_min_scenario,cohort_ratio_max_scenario,oracle_cohort_ratio_min_scenario,oracle_cohort_ratio_max_scenario,entropy_ratio_min_scenario,shuffle_kl_worst_scenario,gradient_ratio_mean_worst_scenario,gradient_ratio_field_worst_scenario,temporal_w1_ratio_worst_scenario,admission_tracking_nrmse_worst_scenario,admission_pool_rate_cv_worst_scenario,budget_violation_worst_scenario,constraint_violation_factor,meets_all_quality_constraints
48,0.15,ercb_beta_0p15,3,0.15666292107946284,7.362748249165357,0.9541112763686638,0.02781931336987875,0.809606119420025,0.8750574712643678,0.9791666666666666,1.0,0.626589231278936,0.37039642072331225,7.189145311135643,12.637256921433007,3.5354440545188766,0.0,1.4422220147876727e-16,0.0,4.212418973811002,False
48,0.2,ercb_beta_0p2,3,0.11748695371071324,5.521580069955192,0.9634765581406889,0.015958027399580067,0.8696603442535448,0.9224956549916045,0.9791666666666666,1.0,0.5184638779652065,0.48016994568933885,7.932179148753033,13.972646814435034,3.7209821742262443,0.0,1.4422220147876727e-16,0.0,4.657548938145012,False
48,0.3,ercb_beta_0p3,3,0.0765672724760665,3.5978167661243368,0.9705525598919126,0.00719653261716941,0.919365294243935,0.9608739492798887,0.9791666666666666,1.0,0.3754253434921235,0.6226741617211745,8.751546613120162,15.403565874198343,3.9159440868218476,0.0,1.4422220147876727e-16,0.0,5.134521958066114,False
48,0.5,ercb_beta_0p5,3,0.04489668461780648,2.1100269533172757,0.9744402218980738,0.0026980776155057563,0.9489381385246561,0.9858911372864861,0.9791666666666666,1.0,0.23375051340387382,0.7641045426890012,9.44725120854274,16.657764595572253,4.064968773620086,0.0,1.4422220147876727e-16,0.0,5.552588198524084,False
48,1.0,ercb_beta_1,3,0.022128706131230306,1.0292421456386187,0.9760192782177022,0.0006814127283044258,0.9794529035660141,1.0078482269503546,0.9791666666666666,1.0,0.11735889552828081,0.8813155399801088,9.999190364597618,17.648411389314216,4.178407271101727,0.0,1.4422220147876727e-16,0.0,8.094827373107577,False
48,inf,ercb_beta_inf,3,0.0,0.0,0.9765869252697781,0.0,0.9904627971511762,1.0079439151303746,0.9791666666666666,1.0,0.033473686868915754,0.9665263131310843,10.415232472872308,18.365480397741745,4.251902862462216,0.0,1.4422220147876727e-16,0.0,28.380500890751488,False
64,0.0,ercb_beta_0,3,0.923778621668616,57.53638474060584,0.5311973341286974,0.4588162884587495,0.1663018197566707,0.2570121961468513,0.984375,1.0,0.999999999999999,1.029533803917459e-15,1.0613736065281458,1.1453104931273497,1.0267612177088994,0.0,0.046961505149395434,0.0,45.88162884587495,False
64,0.005,ercb_beta_0p005,3,0.7582220358271891,47.224901885430455,0.6242369641618067,0.3657766584256401,0.2586329781762958,0.3412853271483198,0.984375,1.0,0.9949988121646225,0.004664956897092917,1.1986704596506268,1.3454237731794132,1.1103445107996428,0.0,0.046961505149395434,0.0,36.57766584256401,False
64,0.01,ercb_beta_0p01,3,0.6636294015181633,41.33331912569875,0.6819990404632026,0.30801458212424426,0.33917309829780323,0.41671654477940834,0.984375,1.0,0.9852488071721499,0.01365741932336202,1.5087668302600794,1.885946723357369,1.2997816153994002,0.0,0.046961505149395434,0.0,30.801458212424425,False
64,0.02,ercb_beta_0p02,3,0.533557925481606,33.231981517885494,0.764360333504575,0.22565328908287183,0.4634170063330141,0.5418031358885017,0.984375,1.0,0.9596795676732485,0.03825370074564231,2.318987353241963,3.2515185272065277,1.7067644027150946,0.0,0.046961505149395434,0.0,22.56532890828718,False
64,0.03,ercb_beta_0p03,3,0.43764841813327165,27.258378984079204,0.823858010292299,0.16615561229514783,0.5614427243942376,0.6442501249135871,0.984375,1.0,0.9306212827295101,0.06816992148534656,3.226031588311464,4.839930871708362,2.105137323952333,0.0,0.046961505149395434,0.0,16.615561229514782,False
64,0.05,ercb_beta_0p05,3,0.32147368415098343,20.022582403867478,0.8903310552588619,0.09968256732858491,0.6795037857455729,0.7555263157894736,0.984375,1.0,0.8574184888340056,0.13705073946405139,4.893140266283753,7.579202812235102,2.7025362460222775,0.0,0.046961505149395434,0.0,9.96825673285849,False
64,0.075,ercb_beta_0p075,3,0.22942294149277864,14.289318155259568,0.9334291034670964,0.05472124656971407,0.7560382916053019,0.8191308765749898,0.984375,1.0,0.7622313610737418,0.2354526723735398,6.324456226723898,10.161015689393949,3.162851303931653,0.0,0.046961505149395434,0.0,5.472124656971407,False
64,0.1,ercb_beta_0p1,3,0.17555971361250083,10.934515034688634,0.9501003599349019,0.032916841655339826,0.8153558554264055,0.8857389547166344,0.984375,1.0,0.669059852036063,0.3280278136686968,7.4324545497094885,11.745083290985022,3.4220638084179282,0.0,0.046961505149395434,0.0,3.915027763661674,False
64,0.15,ercb_beta_0p15,3,0.11844178478698968,7.376996976352299,0.9651237751039098,0.015333766695359085,0.8830630662493295,0.9296446078431373,0.984375,1.0,0.5184494248204747,0.47886178137560226,8.571311199903084,13.732049705751686,3.711145827484168,0.0,0.046961505149395434,0.0,4.577349901917229,False
64,0.2,ercb_beta_0p2,3,0.08758215691956842,5.454944029592496,0.9704984482357514,0.008518520869447039,0.9050773911426575,0.9635071238742065,0.984375,1.0,0.41674517858293386,0.581673535479025,9.253120344259766,14.773100254211887,3.8535563777150887,0.0,0.046961505149395434,0.0,4.924366751403962,False
64,0.3,ercb_beta_0p3,3,0.05846159867346264,3.641206837793521,0.9743222990427836,0.0038774342641654134,0.9452287004385755,0.9816046966731898,0.984375,1.0,0.2925733799133959,0.7043114094742708,10.005629292772623,15.89867637733415,3.994501184517338,0.0,0.046961505149395434,0.0,5.299558792444716,False
64,0.5,ercb_beta_0p5,3,0.03414517984266836,2.126689401965504,0.9761533045087316,0.001350269458199227,0.9694623927679245,0.9926199621465153,0.984375,1.0,0.1790199196069459,0.8189908486278774,10.581929971557043,16.86191537648322,4.1057086370680125,0.0,0.046961505149395434,0.0,5.620638458827741,False
64,1.0,ercb_beta_1,3,0.01698160737485066,1.057677967983778,0.9769345458565237,0.0003518475784858199,0.9844949287280701,1.0060808813264241,0.984375,1.0,0.09832765014281569,0.9003979641712699,11.035632875732006,17.565114605020828,4.1849305459303325,0.0,0.046961505149395434,0.0,9.66157534142406,False
64,inf,ercb_beta_inf,3,0.0,0.0,0.9771946121615018,0.0,0.9954351273312506,1.0092134213421342,0.984375,1.0,0.037782024923749824,0.9622179750762503,11.325501501662389,18.100229864479363,4.237641832058878,0.0,0.046961505149395434,0.0,25.144231997021127,False
96,0.0,ercb_beta_0,3,0.8977733518226414,82.87138632208996,0.5435640595641025,0.44310125013323703,0.19194514937196047,0.27539657973130993,0.9893617021276596,0.9905808477237048,0.9999999999999978,2.2386191464858478e-15,1.0368742882104964,1.0854528898732045,1.0167545159689346,0.0,0.05434362053397388,0.0,44.310125013323706,False
96,0.005,ercb_beta_0p005,3,0.6925035863836428,63.923407973874724,0.6617280698199531,0.3249372398773863,0.31754888743929843,0.3897195762428237,0.9893617021276596,0.9905808477237048,0.9908090628013747,0.008563501294009217,1.292480561203754,1.5651626728670602,1.1694067156169514,0.0,0.05434362053397388,0.0,32.49372398773863,False
96,0.01,ercb_beta_0p01,3,0.5775952109465786,53.31648101045341,0.7333699326438062,0.2532953770535333,0.4283397099971256,0.49680756494877437,0.9893617021276596,0.9905808477237048,0.9745744699390142,0.02478280851504236,1.77833584020744,2.4968188991842433,1.451861758004164,0.0,0.05434362053397388,0.0,25.329537705353328,False
96,0.02,ercb_beta_0p02,3,0.4268742474391479,39.40377668669058,0.8229452503181728,0.16013922499260053,0.5794157098450704,0.6508179234717097,0.9893617021276596,0.9905808477237048,0.9304344332610411,0.06824075957491917,3.0685451921774303,4.7954779820548845,2.0334748956295035,0.0,0.05434362053397388,0.0,16.01392249926005,False
96,0.03,ercb_beta_0p03,3,0.3350416174170295,30.92691853080272,0.8742408267921741,0.10752359301677317,0.6751063712522046,0.7244933148383615,0.9893617021276596,0.9905808477237048,0.8790888920808204,0.11972474120190549,4.269404476707192,6.7934231351969006,2.493260173845848,0.0,0.05434362053397388,0.0,10.752359301677316,False
96,0.05,ercb_beta_0p05,3,0.21676732953031155,20.009291956644145,0.9250276771040193,0.050020027213905166,0.7858444216990788,0.8438518518518519,0.9893617021276596,0.9905808477237048,0.7620703728987431,0.23524157784989314,6.192491604329397,9.877103207444039,3.063034831614902,0.0,0.05434362053397388,0.0,5.002002721390516,False
96,0.075,ercb_beta_0p075,3,0.14832427681959487,13.69147170642414,0.9464903284939847,0.024004328800387005,0.8478447198006398,0.9034016973125885,0.9893617021276596,0.9905808477237048,0.6270397161706729,0.37069922362353064,7.579792236322395,12.055361571321058,3.4047226421286925,0.0,0.05434362053397388,0.0,4.018453857107019,False
96,0.1,ercb_beta_0p1,3,0.11303136902327053,10.433664832917279,0.9544119314406556,0.01388278755846245,0.8824531954953995,0.9383761694782806,0.9893617021276596,0.9905808477237048,0.5211971306577153,0.47641672845004973,8.412312142786707,13.291392360490732,3.578301560211322,0.0,0.05434362053397388,0.0,4.4304641201635775,False
96,0.15,ercb_beta_0p15,3,0.07520213462942342,6.94173550425447,0.9600877904306016,0.006256415834518131,0.9261239869448825,0.9718236173393124,0.9893617021276596,0.9905808477237048,0.3855380509634999,0.6128137129430742,9.320497249419954,14.662484729738484,3.7581866446418184,0.0,0.05434362053397388,0.0,4.887494909912828,False
96,0.2,ercb_beta_0p2,3,0.05559752566785954,5.132079292417804,0.9622135329839654,0.00343600130425864,0.952383939774153,0.9840916317522072,0.9893617021276596,0.9905808477237048,0.3007034314760264,0.696583650626726,9.83259543039266,15.43595144507072,3.8451886335279375,0.0,0.05434362053397388,0.0,5.145317148356907,False
96,0.3,ercb_beta_0p3,3,0.036736748366493745,3.3910844645994227,0.9635741148511835,0.0015279042065149185,0.9707518052167079,1.0009248835403728,0.9893617021276596,0.9905808477237048,0.20950547508771447,0.7888381139299608,10.341384935365884,16.173686155170458,3.9305062631339345,0.0,0.05434362053397388,0.0,5.391228718390153,False
96,0.5,ercb_beta_0p5,3,0.0212743031919974,1.963781833107452,0.9641552527220204,0.0005421347750426964,0.9829988672011154,1.0008620689655172,0.9893617021276596,0.9905808477237048,0.13636208404650643,0.8624125237167295,10.744971026941807,16.786327568194224,3.996691767445961,0.0,0.05434362053397388,0.0,6.966745973726843,False
96,1.0,ercb_beta_1,3,0.01025321280974854,0.9464504132075575,0.9644544938221331,0.00013222165565621725,0.9882864288245149,1.0060927152317882,0.9893617021276596,0.9905808477237048,0.09176250423168363,0.9076176860314713,11.043256350595644,17.20953277568657,4.040777545302115,0.0,0.05434362053397388,0.0,10.352812490834195,False
96,inf,ercb_beta_inf,3,0.0,0.0,0.9645340818117808,0.0,0.9948078487391624,1.0035557874660381,0.9893617021276596,0.9905808477237048,0.04921579361815961,0.9507842063818404,11.222743343709856,17.46388722867633,4.063817230305892,0.0,0.05434362053397388,0.0,19.302746743668674,False
128,0.0,ercb_beta_0,3,0.8718975533986607,106.04159433226955,0.5562619232640844,0.4271447762559743,0.20144351877392816,0.3025188167579833,0.9915966386554622,1.0,0.9999999999999984,1.5886263287585308e-15,1.0330923613447713,1.0717386894346699,1.0191538951673522,0.0,0.05512260480850022,0.0,42.71447762559743,False
128,0.005,ercb_beta_0p005,3,0.6324808075859643,76.92334146315781,0.6962278491129356,0.28717885040712304,0.36688766667502387,0.4650964104843761,0.9915966386554622,1.0,0.9862977669255911,0.01311821277110372,1.4680134587661904,1.806890302351742,1.2416851478826259,0.0,0.05512260480850022,0.0,28.717885040712304,False
128,0.01,ercb_beta_0p01,3,0.5037284897354769,61.26427577863909,0.7757532085191672,0.20765349100089153,0.49419808076695715,0.5856272434117267,0.9915966386554622,1.0,0.9608814772791302,0.03845792531612634,2.255648266422862,3.1989708475338707,1.6343978907703651,0.0,0.05512260480850022,0.0,20.765349100089153,False
128,0.02,ercb_beta_0p02,3,0.34936787112351664,42.49068702853581,0.8658978757786345,0.11705079053734387,0.6487282242717025,0.7162064222485712,0.9915966386554622,1.0,0.8971202046073298,0.10167187766020863,3.9582456377085733,6.143423362952532,2.3006820930528398,0.0,0.05512260480850022,0.0,11.705079053734387,False
128,0.03,ercb_beta_0p03,3,0.2586352909341545,31.45564349199177,0.9109466656925882,0.069279634566853,0.7457245113727283,0.8087878951780837,0.9915966386554622,1.0,0.8220727692933475,0.1755967964558023,5.329655354179797,8.458538845492827,2.7594427558891086,0.0,0.05512260480850022,0.0,6.9279634566853,False
128,0.05,ercb_beta_0p05,3,0.1607721901704714,19.553374480192467,0.9420666681739733,0.02803385820917504,0.8463244169322316,0.9000443351554929,0.9915966386554622,1.0,0.670075302770934,0.32740976489647855,7.0744737962037885,11.377882822152998,3.2318675432878083,0.0,0.05512260480850022,0.0,3.7926276073843326,False
128,0.075,ercb_beta_0p075,3,0.10674997576726111,12.983105160883108,0.9525785448406654,0.01275276930630705,0.8871120970127181,0.938024605800471,0.9915966386554622,1.0,0.5237838176369761,0.4739175494195524,8.20310744838629,13.100132281472492,3.4785587863885965,0.0,0.05512260480850022,0.0,4.366710760490831,False
128,0.1,ercb_beta_0p1,3,0.08000217839181599,9.729994669274918,0.9568766804471484,0.0071508951730356205,0.9255463887805457,0.9666695403289768,0.9915966386554622,1.0,0.42767875683545614,0.5705965166084257,8.832268409017333,14.09494969356398,3.605982964852408,0.0,0.05512260480850022,0.0,4.698316564521327,False
128,0.15,ercb_beta_0p15,3,0.051646606270650874,6.281344005889971,0.9598166520725845,0.0030235100220588453,0.9512984248616433,0.9900201179892886,0.9915966386554622,1.0,0.31166720713091056,0.6870669920400135,9.466396047399705,15.136247041854906,3.7311780738257005,0.0,0.05512260480850022,0.0,5.045415680618302,False
128,0.2,ercb_beta_0p2,3,0.0378957232943823,4.608939319587036,0.9605860040349055,0.0016893296878117859,0.9661752252731163,1.0009205490848585,0.9915966386554622,1.0,0.24530200423327345,0.7529964456948899,9.83057059492061,15.707531772411317,3.7895289504173104,0.0,0.05512260480850022,0.0,5.2358439241371055,False
128,0.3,ercb_beta_0p3,3,0.025145994326951533,3.0582966073319433,0.9612375203696601,0.0007790380572340272,0.9817756308403427,1.0093562196543568,0.9915966386554622,1.0,0.17625214829364338,0.822855315068186,10.176024943615179,16.290516363363725,3.8479645593639913,0.0,0.05512260480850022,0.0,5.430172121121242,False
128,0.5,ercb_beta_0p5,3,0.013668921725289992,1.6468048879782495,0.9615451646632408,0.0002461734217728217,0.9883555596366564,1.0061655405405405,0.9915966386554622,1.0,0.12873362089937243,0.8707967095870139,10.44611883695144,16.692673347801623,3.8941703970525405,0.0,0.05512260480850022,0.0,7.379579579623486,False
