path,allocated_bytes,size_bytes,reason
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/interval_runs/aria12F_interval_size_K32_b002_r4_45k_s0/point_cloud/iteration_30000/point_cloud.ply,85385216,85381195,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_two_pass_odds2_K32_r4_s0/point_cloud/iteration_12000/point_cloud.ply,78553088,78552191,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_two_pass_odds2_K32_r4_s0/point_cloud/iteration_18000/point_cloud.ply,83148800,83145643,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria1253_zerotail_relative_half_odds3_K8_r4_s1/point_cloud/iteration_4000/point_cloud.ply,74985472,74985411,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria1253_zerotail_relative_half_odds3_K8_r4_s1/point_cloud/iteration_6500/point_cloud.ply,132038656,132037831,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_rr_K32_r4_s0/point_cloud/iteration_10000/point_cloud.ply,91586560,91582691,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_rr_K32_r4_s0/point_cloud/iteration_15000/point_cloud.ply,171323392,171322343,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_relative_half_odds4_K8_r4_s1/point_cloud/iteration_10000/point_cloud.ply,100044800,100040763,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_relative_half_odds4_K8_r4_s1/point_cloud/iteration_15000/point_cloud.ply,181489664,181488323,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria1253_zerotail_relative_half_odds3_K8_r4_s0/point_cloud/iteration_4000/point_cloud.ply,76025856,76025807,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria1253_zerotail_relative_half_odds3_K8_r4_s0/point_cloud/iteration_6500/point_cloud.ply,131674112,131671079,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria3F_zerotail_two_pass_odds2_K32_r4_s0/point_cloud/iteration_15000/point_cloud.ply,121307136,121306247,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria3F_zerotail_two_pass_odds2_K32_r4_s0/point_cloud/iteration_25000/point_cloud.ply,121307136,121306247,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_relative_half_odds3_K8_r4_s1/point_cloud/iteration_12000/point_cloud.ply,82087936,82084223,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_relative_half_odds3_K8_r4_s1/point_cloud/iteration_18000/point_cloud.ply,88834048,88831175,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_rr_K32_r4_s0/point_cloud/iteration_12000/point_cloud.ply,78671872,78668699,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_rr_K32_r4_s0/point_cloud/iteration_18000/point_cloud.ply,83812352,83810819,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_relative_half_odds4_K8_r4_s0/point_cloud/iteration_10000/point_cloud.ply,97210368,97210115,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_relative_half_odds4_K8_r4_s0/point_cloud/iteration_15000/point_cloud.ply,175816704,175814763,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_relative_half_odds3_K8_r4_s0/point_cloud/iteration_10000/point_cloud.ply,95436800,95435631,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_relative_half_odds3_K8_r4_s0/point_cloud/iteration_15000/point_cloud.ply,175833088,175831115,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_relative_half_odds4_K8_r4_s1/point_cloud/iteration_12000/point_cloud.ply,83517440,83516191,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_relative_half_odds4_K8_r4_s1/point_cloud/iteration_18000/point_cloud.ply,89804800,89801491,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
